N;K;Parallel;Sequential
1000;100;0,980 ;0,566 
10000;100;0,775 ;4,851 
100000;100;3,311 ;11,521 
1000000;100;11,265 ;109,930 
10000000;100;4,211 ;1016,741 
100000000;100;21,214 ;11374,393 

1000;20;0,667 ;0,055 
10000;20;0,410 ;0,566 
100000;20;0,467 ;6,817 
1000000;20;0,891 ;82,306 
10000000;20;2,925 ;982,207 
100000000;20;24,103 ;11426,944 

N;K;Parallel;SequentialInsertSort
1000;20;0,604 ;0,028 
10000;20;0,466 ;0,227 
100000;20;0,480 ;1,866 
1000000;20;0,826 ;3,875 
10000000;20;2,639 ;13,588 
100000000;20;20,813 ;135,530 
